,brandnm,goodsnm,4days,7days
191,CHANEL,mini bucket bag black,"49,000","59,000"
192,LOUIS VUITTON,monogram tote bag brown,"49,000","59,000"
193,LOUIS VUITTON,damier canvas two way bag brown,"39,000","49,000"
194,GUCCI,GG marmont belt bag black,"49,000","59,000"
195,GUCCI,soho patent chain bag black 2,"39,000","49,000"
196,LOUIS VUITTON,thames hobo shoulder bag brown,"39,000","49,000"
197,LOUIS VUITTON,very shoulder bag black,"49,000","59,000"
198,SAINT LAURENT,cassandre monogram clutch black,"39,000","49,000"
199,SAINT LAURENT,monogram cross body bag black,"49,000","59,000"
200,CHANEL,round chain cross body black,"49,000","59,000"
201,CHANEL,patent classic medium beige,"39,000","49,000"
202,LOUIS VUITTON,monogram eva clutch,"49,000","59,000"
203,BALENCIAGA,ville logo bag white,"39,000","49,000"
204,LOUIS VUITTON,alma monogram canvas bag brown,"49,000","59,000"
205,GUCCI,microssima emily shoulder bag black,"49,000","59,000"
206,CHANEL,classic clutch green,"39,000","49,000"
207,CHANEL,2.55 classic patent bag black,"49,000","59,000"
208,CHANEL,classic quilted shoulder bag black,"49,000","59,000"
209,YVES SAINT LAURENT,chevron quilting cross bag black,"49,000","59,000"
210,CHANEL,classic clutch pink,"49,000","59,000"
211,CHANEL,unique chain point cross bag black,"49,000","59,000"
212,CHANEL,classic clutch red,"49,000","59,000"
213,CHANEL,classic enamel clutch coral,"49,000","59,000"
214,CELINE,monogram cross body bag brown,"49,000","59,000"
215,GUCCI,sylvie mini chain ribbon bag red,"49,000","59,000"
216,FENDI,ff logo monogram tote bag beige,"49,000","59,000"
217,LOUIS VUITTON,logo enamel clutch black,"49,000","59,000"
218,LOUIS VUITTON,vernis roxbury drive burgundy,"49,000","59,000"
219,CHANEL,classic chain shoulder bag black,"39,000","49,000"
220,LOUIS VUITTON,monogram two way bag brown,"49,000","59,000"
221,CHANEL,patent classic bag ivory,"39,000","49,000"
222,CHANEL,quilted chain shoulder bag black,"49,000","59,000"
223,GUCCI,padlock GG canvas shoulder bag,"49,000","59,000"
224,CHANEL,grand-shopping caviar cream,"49,000","59,000"
225,GUCCI,mamont bucket bag ivory,"49,000","59,000"
226,GUCCI,ophidia GG mini bag,"49,000","59,000"
227,CHANEL,mini bucket bag black,"49,000","59,000"
228,LOUIS VUITTON,monogram tote bag brown,"49,000","59,000"
229,LOUIS VUITTON,damier canvas two way bag brown,"39,000","49,000"
230,GUCCI,GG marmont belt bag black,"49,000","59,000"
231,GUCCI,soho patent chain bag black 2,"39,000","49,000"
232,LOUIS VUITTON,thames hobo shoulder bag brown,"39,000","49,000"
233,LOUIS VUITTON,very shoulder bag black,"49,000","59,000"
234,SAINT LAURENT,cassandre monogram clutch black,"39,000","49,000"
235,SAINT LAURENT,monogram cross body bag black,"49,000","59,000"
236,CHANEL,round chain cross body black,"49,000","59,000"
237,CHANEL,patent classic medium beige,"39,000","49,000"
238,LOUIS VUITTON,monogram eva clutch,"49,000","59,000"
239,BALENCIAGA,ville logo bag white,"39,000","49,000"
240,LOUIS VUITTON,alma monogram canvas bag brown,"49,000","59,000"
241,GUCCI,microssima emily shoulder bag black,"49,000","59,000"
242,CHANEL,classic clutch green,"39,000","49,000"
243,CHANEL,2.55 classic patent bag black,"49,000","59,000"
244,CHANEL,classic quilted shoulder bag black,"49,000","59,000"
245,YVES SAINT LAURENT,chevron quilting cross bag black,"49,000","59,000"
246,CHANEL,classic clutch pink,"49,000","59,000"
247,CHANEL,unique chain point cross bag black,"49,000","59,000"
248,CHANEL,classic clutch red,"49,000","59,000"
249,CHANEL,classic enamel clutch coral,"49,000","59,000"
250,CELINE,monogram cross body bag brown,"49,000","59,000"
251,CHANEL,classic L clutch pink,"39,000","49,000"
252,CHANEL,quilted chain shoulder bag,"39,000","49,000"
253,YVES SAINT LAURENT,chevron quilted shoulder bag black,"49,000","59,000"
254,SAINT LAURENT,cabas monogramtote bag black,"49,000","59,000"
255,FENDI,ff logo point tote bag,"49,000","59,000"
256,CHANEL,classic clutch black,"39,000","49,000"
257,GUCCI,logo pointed cross bag black,"39,000","49,000"
258,CHANEL,tassel quilted clutch bag black 2,"49,000","59,000"
259,LOUIS VUITTON,favorite MM shoulder bag,"59,000","69,000"
260,CHANEL,quilting back pack,"49,000","59,000"
261,CHANEL,matelasse mademoiselle clutch bag black 2,"49,000","59,000"
262,GUCCI,marmont GG velvet bag purple,"39,000","49,000"
263,YVES SAINT LAURENT,chevron logo clutch bag black,"39,000","49,000"
264,LOUIS VUITTON,verni mini clutch chain bag black,"39,000","49,000"
265,CHANEL,classic clutch black 2,"49,000","59,000"
266,CHANEL,2.55 classic patent bag red,"49,000","59,000"
267,CHANEL,classic logo chain shoulder bag white,"39,000","49,000"
268,CHANEL,quilted glossy leather clutch bag black,"39,000","49,000"
269,GUCCI,GG loved marmont chain bag,"39,000","49,000"
270,CHANEL,basic logo tote bag black,"39,000","49,000"
271,CHANEL,round chain cross body,"49,000","59,000"
272,CHANEL,unique logo detail shoulder bag black,"49,000","59,000"
273,SAINT LAURENT,monogram chain wallet bag black,"49,000","59,000"
274,CHANEL,2.55 classic patent bag black,"49,000","59,000"
275,SAINT LAURENT,quilted shoulder bag black,"39,000","49,000"
276,YVES SAINT LAURENT,kate small monogram bag black,"49,000","59,000"
277,CHANEL,unique logo shoulder bag black,"59,000","69,000"
278,CHANEL,quilted bucket bag orange,"49,000","59,000"
279,GUCCI,quilted GG momont cross bag black,"49,000","59,000"
280,CHANEL,mini round cross bag pink,"49,000","59,000"
281,CHANEL,zipper detail bucket tote bag,"49,000","59,000"
282,DELVAUX,brillant tote bag beige,"49,000","59,000"
283,CHANEL,2.55 classic bag large,"49,000","59,000"
284,CHANEL,2.55 classic medium,"49,000","59,000"
285,CHANEL,2.55 classic patent bag black,"49,000","59,000"
286,CHANEL,quilted boy chain bag white,"49,000","59,000"
287,CELINE,trapeze tote bag black,"39,000","49,000"
288,CHANEL,chevron quilted clutch bag pink,"49,000","59,000"
289,CHANEL,logo stitches cross body bag beige,"49,000","59,000"
290,CHANEL,tweed shoulder bag black,"39,000","49,000"
291,CHANEL,quilted boy cross bag black,"49,000","59,000"
292,CHANEL,quilted boy cross bag red,"49,000","59,000"
293,CHANEL,vintage 2.55 red S,"49,000","59,000"
294,LOUIS VUITTON,boite chapeau souple cross bag,"49,000","59,000"
295,CHANEL,2.55 classic patent shoulder bag black,"49,000","59,000"
296,CHANEL,boy caviar quilted cluth,"49,000","59,000"
297,HERMES,picotin bag wine,"39,000","49,000"
298,CHANEL,grand-shopping caviar black 1,"59,000","69,000"
299,CHANEL,classic clutch black 2,"49,000","59,000"
300,CHANEL,2.55 classic jumbo,"49,000","59,000"
301,CHANEL,classic quilted L,"49,000","59,000"
302,CHANEL,caviar chain cross bag black,"49,000","59,000"
303,CHANEL,small logo quilted cross body bag black,"49,000","59,000"
304,SAINT LAURENT,mini sunset chain bag black,"49,000","59,000"
305,LOUIS VUITTON,monogram pocket tote bag,"49,000","59,000"
306,CHANEL,boy caviar quilted clutch,"49,000","59,000"
307,CHANEL,matelasse mademoiselle clutch bag,"49,000","59,000"
308,SAINT LAURENT,chevron quilted cross bag beige,"39,000","49,000"
309,CHANEL,classic clutch black 3,"49,000","59,000"
310,CHANEL,boy flap cross bag black,"49,000","59,000"
311,CHANEL,classic L clutch black,"49,000","59,000"
312,CHANEL,vintage 2.55 medium,"49,000","59,000"
313,SAINT LAURENT,mini sunset chain bag black,"49,000","59,000"
314,CHRISTIAN DIOR,croisiere patent lady bag,"49,000","59,000"
315,CHANEL,2.55 classic patent bag black 3,"49,000","59,000"
316,CHANEL,boy chain shoulder bag black,"49,000","59,000"
317,CHANEL,2.55 classic patent bag black 2,"49,000","59,000"
318,CHANEL,quilted enamel tote bag red,"49,000","59,000"
319,CHANEL,two-tone quilted gabrielle hobo bag,"49,000","59,000"
320,CHANEL,boy flab bag,"49,000","59,000"
321,CHANEL,unique pattern boy cross bag,"49,000","59,000"
322,CHANEL,patent classic medium,"49,000","59,000"
323,CHANEL,classic clutch navy,"49,000","59,000"
324,CHANEL,boy caviar quilted clutch bag navy,"49,000","59,000"
325,CHANEL,quilted boy chain bag black,"49,000","59,000"
326,SAINT LAURENT,cabas monogramtote bag gray,"49,000","59,000"
327,YVES SAINT LAURENT,cabas chyc large gray,"39,000","49,000"
328,LOUIS VUITTON,empreinte arch MM,"49,000","59,000"
329,CHANEL,2.55 classic patent bag pink,"49,000","59,000"
330,CHANEL,patent classic medium 1,"49,000","59,000"
331,CHANEL,classic caviar medium,"49,000","59,000"
332,CHANEL,petit shopping black,"49,000","59,000"
333,GUCCI,dionysus cross bag blue,"49,000","59,000"
334,CHANEL,2.55 classic patent bag brown,"49,000","59,000"
335,CHANEL,classic clutch black 3,"49,000","59,000"
336,CHANEL,boy caviar chevron quilted clutch bag black,"49,000","59,000"
337,CHANEL,classic clutch black,"49,000","59,000"
338,CHANEL,vintage mini cross bag,"49,000","59,000"
339,YVES SAINT LAURENT,collège medium cross bag gray,"49,000","59,000"
340,GUCCI,mamont chain cross body bag black,"49,000","59,000"
341,CHANEL,Chain cross bag,"49,000","59,000"
342,CHANEL,2.55 classic patent bag black,"49,000","59,000"
343,DIOR,croisiere patent lady bag pink,"49,000","59,000"
344,CHANEL,boy chanel clutch black,"49,000","59,000"
345,CHANEL,boy chanel crossbody bag black,"49,000","59,000"
346,LOUIS VUITTON,epi tote bag black,"49,000","59,000"
347,CHANEL,boy chanel clutch black,"49,000","59,000"
348,GUCCI,jackie 1961 hobo bag brown,"49,000","59,000"
349,SAINT LAURENT,lou cross bag black,"39,000","49,000"
350,GUCCI,jackie 1961 hobo bag ivory,"49,000","59,000"
351,SAINT LAURENT,monogram cross body bag black,"49,000","59,000"
352,SAINT LAURENT,chevron quilting cross bag cream,"49,000","59,000"
353,CHANEL,quilted shoulder bag black,"49,000","59,000"
354,SAINT LAURENT,chevron quilted cross bag black,"49,000","59,000"
355,GUCCI,mamont chain mini cross bag black,"49,000","59,000"
356,GUCCI,flap cross bag black,"49,000","59,000"
357,SAINT LAURENT,chevron clutch black,"49,000","59,000"
358,GUCCI,marmont GG logo quilted bag black,"39,000","49,000"
359,LOUIS VUITTON,monogram clutch brown,"39,000","49,000"
360,GUCCI,super mini sylvie white,"49,000","59,000"
361,GUCCI,microssima emily mini bag cream,"49,000","59,000"
362,LOUIS VUITTON,verni shoulder bag purple,"39,000","49,000"
363,SAINT LAURENT,monogram mini universal bag black,"39,000","49,000"
364,LOUIS VUITTON,monogram shoulder bag brown,"39,000","49,000"
365,GUCCI,mamont bucket bag black,"49,000","59,000"
366,PRADA,top handle shoulder bag brown,"39,000","49,000"
367,CHANEL,patent small beige,"39,000","49,000"
368,GUCCI,dionysus shoulder bag beige,"49,000","59,000"
369,GUCCI,sylvie leather mini chain bag black,"49,000","59,000"
370,CHRISTIAN DIOR,lucky badges handle bag black,"49,000","59,000"
371,DIOR,croisiere patent lady bag black,"49,000","59,000"
372,CHANEL,grand-shopping caviar black shoulder bag,"39,000","49,000"
373,CELINE,leather chain bag brown,"39,000","49,000"
374,GUCCI,vintage web shoulder bag black,"39,000","49,000"
375,GUCCI,dionysus bag,"49,000","59,000"
376,LOUIS VUITTON,logo chain tote bag black,"49,000","59,000"
377,GUCCI,mammont chain wallet bag black,"49,000","59,000"
378,LOUIS VUITTON,multi pochette cross bag,"59,000","69,000"
379,CHANEL,basic logo tote bag black 2,"49,000","59,000"
380,CHANEL,vintage chain shoulder bag,"49,000","59,000"
381,CHANEL,boy caviar quilted cluth black,"49,000","59,000"
382,YVES SAINT LAURENT,kate small monogram bag beige,"49,000","59,000"
383,RIMOWA,topaz 53,"39,000","49,000"
384,CHANEL,vintage mini cross body,"49,000","59,000"
