,review,cleaning
32,평소에 들고 싶었던 가방들이 많이 있어서 신나게 이용하고 있어요 빠른 배송과 택배 포장도 꼼꼼하게 잘 되어있어서 안심하고 이용할수 있습니다 중고판매 되는 상품들도 상태가 좋아서 맘에 드는거 저렴하게 구매 가능한것도 좋은거 같아요,평소에들고싶었던가방들이많이있어서신나게이용하고있어요빠른배송과택배포장도꼼꼼하게잘되어있어서안심하고이용할수있습니다중고판매되는상품들도상태가좋아서맘에드는거저렴하게구매가능한것도좋은거같아요
33,1년 넘게 클로젯셰어 사용하는 여자친구가 부러워서 남성복은 언제 나오나 문의를 하기도 했지만 드디어 남성복도 대여 서비스 시작하고 잘 사용하고 있습니다. 👍👍👍 약속을 지켜주셔서 감사합니다^^ 저도 바로 빌려서 사용해보니 옷상태도 거의 새옷이 오고 배송도 빨라서 당일 배송이라니.. 그치만 지방은 택배배송으로!! 공유의 트렌드에 맞게 저도 환경보호에 동참하면서 매일매일 새로운 옷으로 교환하면서 잘사용하고 있습니다. 클로젯셰어 이 서비스 제발 제발 오래오래 가길!! 전 개인적으로 적극적으로 추천합니다♥ 클로젯셰어 알라뷰,1년넘게클로젯셰어사용하는여자친구가부러워서남성복은언제나오나문의를하기도했지만드디어남성복도대여서비스시작하고잘사용하고있습니다약속을지켜주셔서감사합니다저도바로빌려서사용해보니옷상태도거의새옷이오고배송도빨라서당일배송이라니그치만지방은택배배송으로공유의트렌드에맞게저도환경보호에동참하면서매일매일새로운옷으로교환하면서잘사용하고있습니다클로젯셰어이서비스제발제발오래오래가길전개인적으로적극적으로추천합니다클로젯셰어알라뷰
34,"계절마다 옷을 사고, 버리면서 '이건 아니다' 생각했습니다. 환경을 지키위해 시작했는데 예상했던 것 보다 훨씬 고퀄의 브랜드, 다양한 스타일의 옷들이 있어 제 스타일링의 스펙트럼을 넓혀주고 있어요!! 환경에 부담을 주지 않고도 매일 다양한 스타일링을 시도할 수 있다니, 두 마리 토끼를 잡은 느낌🌈💜💜💜",계절마다옷을사고버리면서이건아니다생각했습니다환경을지키위해시작했는데예상했던것보다훨씬고퀄의브랜드다양한스타일의옷들이있어제스타일링의스펙트럼을넓혀주고있어요환경에부담을주지않고도매일다양한스타일링을시도할수있다니두마리토끼를잡은느낌
35,가방진짜 좋아하는데 저렴한 가격에 이쁜가방들을 렌트할 수 있어서 너무너무 행복해요.ㅠㅠ 가방한개 사려면 가격이 어마어마 하잖아요.ㅠ 좋은서비스 앞으로도 계속 쭈~욱 부탁해요.^^,가방진짜좋아하는데저렴한가격에이쁜가방들을렌트할수있어서너무너무행복해요ㅠㅠ가방한개사려면가격이어마어마하잖아요ㅠ좋은서비스앞으로도계속쭈욱부탁해요
36,어플 자체는 신선하고 정말 좋아요 그런데 앱 속도가 너무 너무 너어어무 느리고 버그도 많아서 이 모든 장점들을 덮게 돼요.. 속도만 개선된다면 별 다섯개도 적은 앱이에요,어플자체는신선하고정말좋아요그런데앱속도가너무너무너어어무느리고버그도많아서이모든장점들을덮게돼요속도만개선된다면별다섯개도적은앱이에요
37,다양한 스타일을 고를수있고~ 명품까지 입을수있어서 넘 좋아요~ 특히 한두번만 입게 되는 행사나 이벤트의상은 진짜 넘 유용하네용^^ 자주 이용할어플입니당ㅎㅎ,다양한스타일을고를수있고명품까지입을수있어서넘좋아요특히한두번만입게되는행사나이벤트의상은진짜넘유용하네용자주이용할어플입니당ㅎㅎ
38,처음 설치해서 사용했을 때보다 속도가 많이 개선되어 이제서야 리뷰를 남깁니다. 앞으로도 고객들과 소통하며 언택트 시대에 걸맞게 멋진 서비스로 더욱 발전하기를 기대할게요. 고맙습니다. :D,처음설치해서사용했을때보다속도가많이개선되어이제서야리뷰를남깁니다앞으로도고객들과소통하며언택트시대에걸맞게멋진서비스로더욱발전하기를기대할게요고맙습니다D
39,플레이스토어 앱중에 최초로 답답해서 앱지웠습니다ㅋㅋㅋㅋ 앱이 뭐 이렇게 버그도 심하고 느리고 그냥 대충 만드신건가? 이런 생각까지 들어버리네요^^ 완전 소중한경험 감사합니다ㅋㅋㅋ이런 답답한 앱은 처음입니다ㅋ,플레이스토어앱중에최초로답답해서앱지웠습니다ㅋㅋㅋㅋ앱이뭐이렇게버그도심하고느리고그냥대충만드신건가이런생각까지들어버리네요완전소중한경험감사합니다ㅋㅋㅋ이런답답한앱은처음입니다ㅋ
40,"중요한 날에 한번 입을 옷,가방 대여하려고 설치했는데 일상생활에서 입어보고 싶었던 옷들 뿐만 아니라 파티스타일,웨딩스타일 등 평소에 접하기 힘든 옷들도 대여할 수 있어서 좋아요 잘 쓰고 있어요ㅎㅎ",중요한날에한번입을옷가방대여하려고설치했는데일상생활에서입어보고싶었던옷들뿐만아니라파티스타일웨딩스타일등평소에접하기힘든옷들도대여할수있어서좋아요잘쓰고있어요ㅎㅎ
41,여러가입자들이 지적했듯 느려도 너무느림 이런앱정말 첨봄 실력이 이것밖에 안되나여~ 그래도 세번이용했어요 콘텐츠가 좋음 뭐함? 써비스가 엉망 너무불편해요,여러가입자들이지적했듯느려도너무느림이런앱정말첨봄실력이이것밖에안되나여그래도세번이용했어요콘텐츠가좋음뭐함써비스가엉망너무불편해요
42,몇 안되는 예쁘고 평상시에도 입을만한 옷들은 재빠르게 대여돼서 계절 다 지나야 반납됨,몇안되는예쁘고평상시에도입을만한옷들은재빠르게대여돼서계절다지나야반납됨
43,앱 평가하기라서 별하나 줬습니다. 서비스 자체는 괜찮으나 앱은 정말 똥이예요 ㅠ.ㅠ,앱평가하기라서별하나줬습니다서비스자체는괜찮으나앱은정말똥이예요ㅠㅠ
44,협찬받았으나 솔직한 리뷰) 아이디어 자체는 굉장히 좋은데 운영하시는 분들이 의류에 대한 지식이 좀 부족한 것 같다.,협찬받았으나솔직한리뷰아이디어자체는굉장히좋은데운영하시는분들이의류에대한지식이좀부족한것같다
45,셰어링신청 해보려고 다운받았습니다. 다행히? 신청한 가방이 통과되고 보상가격도 나왔어요. 중고로 판매하려고 했던 것보다 높게 책정되서 기분좋네요ㅋㅋ빌려도 봐야겠네요!,셰어링신청해보려고다운받았습니다다행히신청한가방이통과되고보상가격도나왔어요중고로판매하려고했던것보다높게책정되서기분좋네요ㅋㅋ빌려도봐야겠네요
46,"어플 팝업이 뜰때 오늘 그만보기를 아무리 눌러도 계속 뜸... 빌린옷 리뷰작성할때 가끔 사진첨부가 안될때가 있음. 1대1 상담기능이 언젠가부터 안됨. 그래도 어플자체의 불편함만 감수하면 옷 빌리기엔 꽤 괜찮은 곳이지만, 쉐어링하기는 굉장히 불편함. 물건 가져갈땐 빠르게 가져가는데 보낸 뒤부터 업데이트 완료까지 3주~1달쯤 기다리는건 예사다 싶을정도. 쉐어링 신청에서 반려된 제품도 돌려준다더니 지금 1달가까이 기다리고 있는데 또! 아무소식이 없다. 누가 갖다 입다가 여름끝나면 돌려주는건가..ㅎ.... 쉐어러 입장에선 그냥 쉐어링해놓고...
전체 리뷰",어플팝업이뜰때오늘그만보기를아무리눌러도계속뜸빌린옷리뷰작성할때가끔사진첨부가안될때가있음1대1상담기능이언젠가부터안됨그래도어플자체의불편함만감수하면옷빌리기엔꽤괜찮은곳이지만쉐어링하기는굉장히불편함물건가져갈땐빠르게가져가는데보낸뒤부터업데이트완료까지3주1달쯤기다리는건예사다싶을정도쉐어링신청에서반려된제품도돌려준다더니지금1달가까이기다리고있는데또아무소식이없다누가갖다입다가여름끝나면돌려주는건가ㅎ쉐어러입장에선그냥쉐어링해놓고전체리뷰
