,0,1,2,3
85,HUGO BOSS,button basic pattern coat navy,"39,000","49,000"
86,BURBERRY,basic pattern skirt navy,"24,000","34,000"
87,JIL SANDER,strap basic pattern coat navy,"39,000","49,000"
88,BURBERRY,pocket basic pattern wool coat navy,"39,000","49,000"
89,BURBERRY,pintuck check pattern wool wide-pants brown,"24,000","34,000"
90,FENDI,geometric pattern H-Line dress brown,"39,000","49,000"
91,GIVENCHY,ribbon basic pattern H-Line dress black,"39,000","49,000"
92,BURBERRY,belt leopard print pattern coat black,"39,000","49,000"
93,MAX MARA,basic pattern skirt black,"24,000","34,000"
94,VALENTINO,pocket check pattern singlebreasted-jacket khaki,"39,000","49,000"
95,CELINE,button basic pattern coat brown,"39,000","49,000"
96,MAX MARA,basic pattern H-Line knit-dress,"39,000","49,000"
97,BURBERRY,button basic pattern jacket beige,"39,000","49,000"
98,SAINT LAURENT,button check pattern coat black,"39,000","49,000"
99,BURBERRY,belt check pattern trench-coat beige,"39,000","49,000"
100,MAX MARA,graphics pattern skirt brown,"24,000","34,000"
101,BURBERRY,check pattern skirt,"24,000","34,000"
102,HUGO BOSS,basic pattern t-shirts grey,"24,000","34,000"
103,GIVENCHY,belt graphics pattern coat,"39,000","49,000"
104,BURBERRY,pleats check pattern wool pleats-skirt,"24,000","34,000"
105,THOM BROWNE,roll up basic pattern slacks navy,"24,000","34,000"
106,"ZARA,FENDI","basic shirt,pattern skirt","39,000","59,000"
107,BURBERRY,button basic pattern tank-top black,"24,000","34,000"
