,brandnm,goodsnm,4days,7days
805,"CARVEN,CHLOE","lace blouse white,ribbon pleats skirt","43,000","63,000"
806,JIL SANDER,wrap design jacket black,"34,000","44,000"
807,DOLCE & GABBANA,peter pan collar coat black,"34,000","44,000"
808,FENDI,punching dots pattern top orange,"19,000","29,000"
809,PRADA,basic pattern denim-jacket blue,"34,000","44,000"
810,CHRISTIAN DIOR,button color block pattern sweater ivory,"24,000","34,000"
811,HUGO BOSS,check pattern H-Line dress ivory,"39,000","49,000"
812,YVES SAINT LAURENT,suede blouson mustard,"34,000","44,000"
813,ALEXANDER MCQUEEN,belted short jacket cream 1,"34,000","44,000"
814,"LANVIN,OBZEE","front gather shorts,knit collar shimmer blouse","39,000","59,000"
815,DOLCE & GABBANA,lace detail leopard blouse,"19,000","29,000"
816,MAX MARA,tweed mini skirt multi,"19,000","29,000"
817,SORRY TOO MUCH LOVE,ruffle basic pattern blouse black,"29,000","39,000"
818,HUGO BOSS,punching basic pattern skirt brown,"24,000","34,000"
819,TOM FORD,taping detail slit tight skirt,"24,000","34,000"
820,YVES SAINT LAURENT,shoulder point double coat,"34,000","44,000"
821,MAX MARA,square neck cap sleeve t-shirts,"19,000","29,000"
822,ETRO,gather graphics pattern H-Line dress brown,"34,000","44,000"
823,MAX MARA,dots pattern turtle neck turtleneck grey,"24,000","34,000"
824,SACAI,color block pattern turtle neck sweater navy,"24,000","34,000"
825,DOLCE & GABBANA,button jacquard pattern jacket brown,"39,000","49,000"
826,"MAX MARA,BARRIE","chain point denim jean,animal pattern knit top","43,000","63,000"
827,"SALVATORE FERRAGAMO,MAX MARA","sleeveless knit top brown,simple skirt black","48,000","68,000"
828,PRADA,pocket detail single coat gray,"34,000","44,000"
829,LANVIN,stitch basic pattern jeans black,"19,000","29,000"
830,SALVATORE FERRAGAMO,basic pattern A-Line knit-dress black,"39,000","49,000"
831,SORRY TOO MUCH LOVE,button basic pattern blouse white,"29,000","39,000"
832,MAX MARA,button basic pattern jacket black,"39,000","49,000"
833,DOLCE & GABBANA,pocket basic pattern skirt black,"24,000","34,000"
834,"YMC,PRADA","lovely twist knit navy ,waffle knit skirt","39,000","59,000"
835,"EL ESTILO DE CLAIRE,HERMES PETITE H","ruffle off-shoulder stripe blouse,floral pattern silk skirt","39,000","59,000"
836,BALMAIN,double button long coat white,"34,000","44,000"
837,ALEXANDER MCQUEEN,button basic pattern jacket beige,"34,000","44,000"
838,PRADA,pocket basic pattern A-Line dress navy,"34,000","44,000"
839,SORRY TOO MUCH LOVE,basic pattern mermaid skirt blue,"29,000","39,000"
840,VALENTINO,basic pattern skirt beige,"24,000","34,000"
841,JIL SANDER,strap basic pattern coat charcoal,"39,000","49,000"
842,PRADA,button basic pattern singlebreasted-jacket navy,"39,000","49,000"
843,VALENTINO,pocket basic pattern slacks navy,"24,000","34,000"
844,YVES SAINT LAURENT,double button trench coat black,"34,000","44,000"
845,ESCADA,silver button point coat,"34,000","44,000"
846,BURBERRY,check pattern shirt multi,"19,000","29,000"
847,BURBERRY,slit basic pattern skirt brown,"19,000","29,000"
848,MAX MARA,pocket check pattern skirt black,"24,000","34,000"
849,MAX MARA,strap basic pattern wrap-coat black,"39,000","49,000"
850,GUCCI,eyelet denim dress blue,"34,000","44,000"
851,MAX MARA,shawl collar fur detail coat gray,"34,000","44,000"
852,BURBERRY,pin-tuck detail yoke skirt black,"19,000","29,000"
853,ESCADA,gather basic pattern H-Line dress blue,"39,000","49,000"
854,LOUIS VUITTON,power shoulder short jacket,"34,000","44,000"
855,CHANEL,stripe pattern pointed cardigan multi,"39,000","49,000"
856,ISSEY MIYAKE,button basic pattern blouse grey,"19,000","29,000"
857,PRADA,button basic pattern cashmere slacks navy,"24,000","34,000"
858,MAX MARA,stripe pattern skirt multi,"24,000","34,000"
859,PRADA,pocket Quilting pattern padding-outer yellow,"39,000","49,000"
860,BURBERRY,belt basic pattern trench-coat beige,"39,000","49,000"
861,MAX MARA,basic pattern skirt black,"24,000","34,000"
862,"MAX MARA,MICHAA","lettering crew knit ,high waist wool slacks","39,000","59,000"
863,"VIVIENNE WESTWOOD,LANVIN","lettering turtle knit,high-waist straight pants","43,000","63,000"
864,CHLOE,string ribbon blouse black,"19,000","29,000"
865,MAX MARA,fur high neck padding jumper,"34,000","44,000"
866,STONE ISLAND,basic pattern t-shirts navy,"19,000","29,000"
867,BURBERRY,button basic pattern wool singlebreasted-coat khaki,"34,000","44,000"
868,YVES SAINT LAURENT,button check pattern slacks grey,"24,000","34,000"
869,EMPORIO ARMANI,frill basic pattern t-shirts black,"19,000","29,000"
870,GUCCI,waist point slacks,"19,000","29,000"
