,brandnm,goodsnm,4days,7days
505,GIVENCHY,button basic pattern wool blazer black,"39,000","49,000"
506,BURBERRY,pocket basic pattern wool duffle-coat green,"39,000","49,000"
507,BURBERRY,button basic pattern polo-shirts black,"24,000","34,000"
508,LANVIN,flower pattern back zipper skirt,"24,000","34,000"
509,YVES SAINT LAURENT,basic pattern jacket green,"39,000","49,000"
510,CHLOE,pleats basic pattern pleats-skirt black,"19,000","29,000"
511,VIVIENNE WESTWOOD,check pattern ribbon detail shirts,"34,000","44,000"
512,JIL SANDER,basic pattern cashmere sweater violet,"19,000","29,000"
513,HUGO BOSS,button check pattern shirts deeppink,"29,000","39,000"
514,BALMAIN,printing pattern sweat-shirts black,"24,000","34,000"
515,ESCADA,button color block pattern jacket blue,"39,000","49,000"
516,DOLCE & GABBANA,flower pattern slim line dress,"39,000","49,000"
517,MAX MARA,pleats stripe pattern skirt grey,"19,000","29,000"
518,SORRY TOO MUCH LOVE,lace basic pattern blouse black,"29,000","39,000"
519,CHLOE,basic pattern turtle neck turtleneck beige,"24,000","34,000"
520,ESCADA,check pattern wool skirt blue,"24,000","34,000"
521,"JIL SANDER,JIL SANDER","simple three button jacket wine,modern design pants wine","48,000","68,000"
522,DOLCE & GABBANA,printing pattern t-shirts charcoal,"19,000","29,000"
523,PRADA,ruffle ribbon dress black,"34,000","44,000"
524,CHANEL,button basic pattern singlebreasted-jacket grey,"34,000","44,000"
525,DOLCE & GABBANA,printing pattern t-shirts grey,"24,000","34,000"
526,BURBERRY,button basic pattern blazer charcoal,"39,000","49,000"
527,MIU MIU,pin-tuck sleeve v-neck dress pink,"39,000","49,000"
528,SALVATORE FERRAGAMO,button dots pattern shirts ivory,"24,000","34,000"
529,MAX MARA,flower pattern flared-skirt brown,"24,000","34,000"
530,THOM BROWNE,shirts dress,"34,000","44,000"
531,AMSALE,floral shoulder dress ivory,"39,000","49,000"
532,"SYZ,VALENTINO","silky cuffs floral blouse ,silk shirring draped skirt","39,000","59,000"
533,STONE ISLAND,hoodie basic pattern windbreaker blue,"39,000","49,000"
534,BURBERRY,belt basic pattern padding-outer black,"39,000","49,000"
535,CHANEL,button color block pattern cashmere vest,"24,000","34,000"
536,YVES SAINT LAURENT,ruffle stripe pattern blouse multi,"24,000","34,000"
537,ESCADA,pocket basic pattern jacket navy,"39,000","49,000"
538,THOM BROWNE,fringe detail check pattern coat,"34,000","44,000"
539,PRADA,color fur detail coat black,"34,000","44,000"
540,BURBERRY,basic pattern cape white,"39,000","49,000"
541,AMSALE,tube banding dress white,"39,000","49,000"
542,MAX MARA,draping detail raglan sleeve dress,"34,000","44,000"
543,YVES SAINT LAURENT,pocket basic pattern H-Line wool dress black,"34,000","44,000"
544,GIVENCHY,stripe pattern wool slacks black,"24,000","34,000"
545,MAX MARA,tweed pattern skirt grey,"24,000","34,000"
546,"SONIA RYKIEL,CHRISTIAN DIOR","sqaure neck knit top black,vintage knitted skirt","43,000","63,000"
547,AMSALE,v neck ruffle sleeve purple,"34,000","44,000"
548,"O'2ND,CELINE","decorated front raglan blouse,basic wool slacks","39,000","59,000"
549,"CHANEL,CHANEL","button tweed pattern doublebreasted-coat multi,tweed pattern skirt multi","48,000","68,000"
550,YVES SAINT LAURENT,stripe pattern H-Line wool knit-dress green,"34,000","44,000"
551,BURBERRY,embroidery basic pattern t-shirts charcoal,"24,000","34,000"
552,BURBERRY,check pattern skirt green,"24,000","34,000"
553,PRADA,gather basic pattern A-Line dress black,"39,000","49,000"
554,GUCCI,basic jacket black,"34,000","44,000"
555,"MAX MARA,ISABEL MARANT ETOILE","a line check skirt ,punching combed knit","39,000","59,000"
556,PRADA,fur detail slim line single coat,"34,000","44,000"
557,BURBERRY,check piping detail cardigan red,"39,000","49,000"
558,"CHRISTIAN DIOR,CHRISTIAN DIOR","button check pattern jacket grey,check pattern skirt grey","48,000","68,000"
559,YVES SAINT LAURENT,stripe pattern wool sweater charcoal,"19,000","29,000"
560,SORRY TOO MUCH LOVE,gather basic pattern blouse pink,"29,000","39,000"
561,MAX MARA,slit graphics pattern H-Line dress beige,"39,000","49,000"
562,ETRO,button paisley print pattern shirts skyblue,"19,000","29,000"
563,"MINE,BRUNELLO CUCINELLI","stripe fur top,classic slacks","34,000","54,000"
564,VERSACE,unique pattern flare skirt,"24,000","34,000"
565,MIU MIU,punching basic pattern t-shirts white,"19,000","29,000"
566,CHRISTIAN DIOR,button basic pattern doublebreasted-coat navy,"39,000","49,000"
567,"CELINE,CELINE","ribbon tie knit,h line skirt","48,000","68,000"
568,"CELINE,THE CLOZET","check tennis skirt ,v neck cardigan","39,000","59,000"
569,MIU MIU,raglan dress jacket black,"34,000","44,000"
570,CHANEL,basic pattern 3depth navy,"34,000","44,000"
571,PRADA,pleats basic pattern H-Line dress black,"34,000","44,000"
572,ESCADA,basic pattern H-Line dress black,"39,000","49,000"
573,JIL SANDER,low v neck dress bluegreen,"39,000","49,000"
574,PRADA,unique pattern sweater multi,"19,000","29,000"
575,BURBERRY,pleats check pattern wool pleats-skirt khaki,"24,000","34,000"
576,BURBERRY,basic pattern cape white,"39,000","49,000"
577,AMSALE,tube banding dress white,"39,000","49,000"
578,MAX MARA,draping detail raglan sleeve dress,"34,000","44,000"
579,YVES SAINT LAURENT,pocket basic pattern H-Line wool dress black,"34,000","44,000"
580,GIVENCHY,stripe pattern wool slacks black,"24,000","34,000"
581,MAX MARA,tweed pattern skirt grey,"24,000","34,000"
582,"SONIA RYKIEL,CHRISTIAN DIOR","sqaure neck knit top black,vintage knitted skirt","43,000","63,000"
583,AMSALE,v neck ruffle sleeve purple,"34,000","44,000"
584,"O'2ND,CELINE","decorated front raglan blouse,basic wool slacks","39,000","59,000"
585,"CHANEL,CHANEL","button tweed pattern doublebreasted-coat multi,tweed pattern skirt multi","48,000","68,000"
586,YVES SAINT LAURENT,stripe pattern H-Line wool knit-dress green,"34,000","44,000"
587,BURBERRY,embroidery basic pattern t-shirts charcoal,"24,000","34,000"
588,BURBERRY,check pattern skirt green,"24,000","34,000"
589,PRADA,gather basic pattern A-Line dress black,"39,000","49,000"
590,GUCCI,basic jacket black,"34,000","44,000"
591,"MAX MARA,ISABEL MARANT ETOILE","a line check skirt ,punching combed knit","39,000","59,000"
592,PRADA,fur detail slim line single coat,"34,000","44,000"
593,BURBERRY,check piping detail cardigan red,"39,000","49,000"
594,"CHRISTIAN DIOR,CHRISTIAN DIOR","button check pattern jacket grey,check pattern skirt grey","48,000","68,000"
595,YVES SAINT LAURENT,stripe pattern wool sweater charcoal,"19,000","29,000"
596,SORRY TOO MUCH LOVE,gather basic pattern blouse pink,"29,000","39,000"
597,MAX MARA,slit graphics pattern H-Line dress beige,"39,000","49,000"
598,ETRO,button paisley print pattern shirts skyblue,"19,000","29,000"
599,"MINE,BRUNELLO CUCINELLI","stripe fur top,classic slacks","34,000","54,000"
600,VERSACE,unique pattern flare skirt,"24,000","34,000"
601,MIU MIU,punching basic pattern t-shirts white,"19,000","29,000"
602,CHRISTIAN DIOR,button basic pattern doublebreasted-coat navy,"39,000","49,000"
603,"CELINE,CELINE","ribbon tie knit,h line skirt","48,000","68,000"
604,"CELINE,THE CLOZET","check tennis skirt ,v neck cardigan","39,000","59,000"
605,MIU MIU,raglan dress jacket black,"34,000","44,000"
606,CHANEL,basic pattern 3depth navy,"34,000","44,000"
607,PRADA,pleats basic pattern H-Line dress black,"34,000","44,000"
608,ESCADA,basic pattern H-Line dress black,"39,000","49,000"
609,JIL SANDER,low v neck dress bluegreen,"39,000","49,000"
610,PRADA,unique pattern sweater multi,"19,000","29,000"
611,BURBERRY,pleats check pattern wool pleats-skirt khaki,"24,000","34,000"
612,"CHRISTIAN WIJNANTS,GUCCI","color combed knit skirt ,extension sleeve turtle knit","43,000","63,000"
613,MIU MIU,basic pattern H-Line dress red,"39,000","49,000"
614,ISSEY MIYAKE,button basic pattern shirts white,"24,000","34,000"
615,FENDI,pleats check pattern skirt skyblue,"24,000","34,000"
616,CARTIER,basic pattern H-Line dress black,"39,000","49,000"
617,GUCCI,basic pattern turtle neck turtleneck navy,"24,000","34,000"
618,ALEXANDER MCQUEEN,printing pattern t-shirts black,"24,000","34,000"
619,MIU MIU,vintage mood slim collar coat,"34,000","44,000"
620,"DOLCE & GABBANA,DOLCE & GABBANA","single button long linen jacket,basic line linen pants beige","48,000","68,000"
621,VERSACE,button basic pattern jeans black,"24,000","34,000"
622,DOLCE & GABBANA,basic pattern boat neck tube-top black,"24,000","34,000"
623,MAX MARA,button basic pattern blazer black,"39,000","49,000"
624,JIL SANDER,minimal pocket jacket,"34,000","44,000"
625,HUGO BOSS,basic pattern t-shirts navy,"24,000","34,000"
626,LANVIN,banding point jumper skyblue,"34,000","44,000"
627,PRADA,fur texture sleeveless cardigan,"34,000","44,000"
628,CELINE,slit detail pocket detail knit dress,"34,000","44,000"
629,DOLCE & GABBANA,leopard print pattern tank top tank-top brown,"19,000","29,000"
630,DIOR,basic pattern wool skirt black,"24,000","34,000"
631,"EMPORIO ARMANI,PAULE KA","see-through armpit shirring knit,round printing skirt","38,000","58,000"
632,"SANDRO,SALVATORE FERRAGAMO","unique pattern blouse,flare skirt beifge","39,000","59,000"
633,AMSALE,low v-neck trumpet dress white,"34,000","44,000"
634,MIU MIU,embroidery lettering pattern t-shirts black,"24,000","34,000"
635,BURBERRY,button check pattern shirts multi,"24,000","34,000"
636,CHLOE,white color pointed single coat,"34,000","44,000"
637,JIL SANDER,cutout basic pattern H-Line dress black,"34,000","44,000"
638,PRADA,frill basic pattern t-shirts black,"24,000","34,000"
639,PRADA,ruffle detail long coat,"34,000","44,000"
640,DOLCE & GABBANA,slime line single coat black,"34,000","44,000"
641,PRADA,slit basic pattern silk skirt blue,"19,000","29,000"
642,HUGO BOSS,basic pattern unbalance skirt navy,"24,000","34,000"
643,CHLOE,wide collar jacket gray,"34,000","44,000"
644,SACAI,lined lace jacket blouse ivory,"24,000","34,000"
645,ESCADA,princess line single coat brown,"34,000","44,000"
646,DOLCE & GABBANA,flower pattern top brown,"19,000","29,000"
647,ESCADA,basic pattern jacket purple,"39,000","49,000"
648,PRADA,basic pattern t-shirts black,"24,000","34,000"
649,MAX MARA,basic pattern skirt navy,"24,000","34,000"
650,"GIVENCHY,THEORY","peplum boots cut slacks,modern oxford shirt","43,000","63,000"
651,MAX MARA,fur texture one button coat,"34,000","44,000"
652,DOLCE & GABBANA,check pattern long sleeve bustier,"24,000","34,000"
653,BURBERRY,zipper detail pointed jacket beige,"34,000","44,000"
654,YVES SAINT LAURENT,pocket basic pattern linen skirt pink,"19,000","29,000"
655,YVES SAINT LAURENT,slit jacquard pattern skirt bluegreen,"19,000","29,000"
656,BURBERRY,button basic pattern cardigan green,"39,000","49,000"
657,BURBERRY,shawl collar double coat,"34,000","44,000"
658,SACAI,stripe pattern sweat-shirts navy,"24,000","34,000"
659,BURBERRY LONDON,pocket check pattern skirt beige,"19,000","29,000"
660,"EMPORIO ARMANI,EMPORIO ARMANI","seethrough blouse,pattern skirt","43,000","63,000"
661,AMSALE,one shoulder midi dress charcoal,"34,000","44,000"
662,BURBERRY,classic trench coat beige,"34,000","44,000"
663,BURBERRY,double button point coat pink,"34,000","44,000"
664,PRADA,slim silhouette single button coat,"34,000","44,000"
665,MAX MARA,simple design trench coat,"34,000","44,000"
666,MAX MARA,front zipper patterned fur coat,"34,000","44,000"
667,"ETRO,ETRO","paisley print pattern top multi,gather paisley print pattern skirt multi","48,000","68,000"
668,PRADA,pocket basic pattern wool coat black,"39,000","49,000"
669,ISSEY MIYAKE,button basic pattern shirts brown,"24,000","34,000"
670,DOLCE & GABBANA,button basic pattern wool slacks black,"24,000","34,000"
671,CHLOE,button basic pattern coat black,"39,000","49,000"
672,SAINT LAURENT,button basic pattern shirts blue,"24,000","34,000"
673,"ALEXANDER MCQUEEN,LANVIN","pearl sleeve blouse ivory,flare skirt deep khaki","38,000","58,000"
674,YVES SAINT LAURENT,basic pattern wool sweater bluegreen,"19,000","29,000"
675,DOLCE & GABBANA,basic pattern denim-jacket blue,"34,000","44,000"
676,MAX MARA,gather basic pattern A-Line dress blue,"34,000","44,000"
