,brandnm,goodsnm,USER,reg_date,order_date,p_type,sub_type,app_yn,4days,7days
91,Chanel,classic clutch black,a1146521,2021-02-15,2021-03-25,7days,BA,N,39000,49000
92,Chanel,classic clutch black,a1146521,2021-02-15,2021-03-25,7days,BA,N,49000,59000
93,Chanel,classic clutch black,a1105909,2020-06-24,2021-03-24,4days,BA,Y,49000,59000
94,Chanel,classic clutch black,a1105909,2020-06-24,2021-03-24,4days,BA,Y,39000,49000
95,Chanel,classic clutch black,a1105909,2020-06-24,2021-03-24,4days,BA,Y,49000,59000
96,Chanel,classic clutch black,a1149788,2021-03-17,2021-03-17,4days,BA,Y,49000,59000
97,Chanel,classic clutch black,a1149788,2021-03-17,2021-03-17,4days,BA,Y,39000,49000
98,Chanel,classic clutch black,a1149788,2021-03-17,2021-03-17,4days,BA,Y,49000,59000
99,Chanel,classic clutch black,a1148370,2021-03-06,2021-03-09,7days,BA,Y,49000,59000
100,Chanel,classic clutch black,a1148370,2021-03-06,2021-03-09,7days,BA,Y,39000,49000
101,Chanel,classic clutch black,a1148370,2021-03-06,2021-03-09,7days,BA,Y,49000,59000
102,Chanel,classic clutch black,a192716,2020-04-02,2021-03-09,4days,BA,Y,49000,59000
103,Chanel,classic clutch black,a192716,2020-04-02,2021-03-09,4days,BA,Y,39000,49000
104,Chanel,classic clutch black,a192716,2020-04-02,2021-03-09,4days,BA,Y,49000,59000
105,Chanel,classic clutch black,a1148485,2021-03-07,2021-03-08,7days,BA,Y,49000,59000
106,Chanel,classic clutch black,a1148485,2021-03-07,2021-03-08,7days,BA,Y,39000,49000
107,Chanel,classic clutch black,a1148485,2021-03-07,2021-03-08,7days,BA,Y,49000,59000
108,Gucci,dionysus cross bag green,a1147181,2021-02-22,2021-02-22,4days,BA,Y,39000,49000
109,Gucci,dionysus cross bag green,a1150214,2021-03-21,2021-03-21,4days,BA,N,39000,49000
110,Gucci,dionysus cross bag green,a1102582,2020-05-31,2021-03-08,4days,BA,Y,39000,49000
111,Gucci,marmont gg logo quilted bag Black,a1147123,2021-02-21,2021-02-22,4days,BA,N,39000,49000
112,Gucci,marmont gg logo quilted bag Black,a1143565,2021-01-17,2021-02-04,4days,BA,Y,39000,49000
113,Gucci,marmont gg logo quilted bag Black,a1145191,2021-02-02,2021-02-02,4days,BA,Y,39000,49000
114,Gucci,marmont gg logo quilted bag Black,a1150157,2021-03-20,2021-03-23,7days,BA,Y,39000,49000
115,Gucci,unique vintage web mini cross bag,a1146554,2021-02-16,2021-02-18,7days,BA,Y,39000,49000
116,Gucci,unique vintage web mini cross bag,a1150597,2021-03-24,2021-03-25,7days,BA,Y,39000,49000
117,Louis Vuitton,verni mini clutch chain bag black,a1145662,2021-02-06,2021-02-17,4days,BA,Y,39000,49000
118,Louis Vuitton,verni mini clutch chain bag black,a1151301,2021-03-29,2021-03-31,4days,BA,Y,39000,49000
119,Louis Vuitton,verni mini clutch chain bag black,a1149970,2021-03-19,2021-03-19,4days,BA,Y,39000,49000
120,Valentino,rockstud tote bag black,a1146728,2021-02-17,2021-02-17,4days,BA,Y,39000,49000
121,Valentino,rockstud tote bag black,a1149671,2021-03-16,2021-03-16,7days,BA,Y,39000,49000
122,Louis Vuitton,damier ebene cross bag brown,a1146602,2021-02-16,2021-02-17,4days,BA,Y,39000,49000
123,Chanel,matelasse mademoiselle clutch bag black,a1146652,2021-02-17,2021-02-17,7days,BA,Y,39000,49000
124,Chanel,matelasse mademoiselle clutch bag black,a1150734,2021-03-24,2021-03-25,7days,BA,Y,39000,49000
125,Chanel,matelasse mademoiselle clutch bag black,a191314,2020-03-28,2021-03-08,7days,BA,Y,39000,49000
126,Louis Vuitton,verni clutch chain bag pink,a1146297,2021-02-13,2021-02-16,4days,BA,Y,49000,59000
127,Louis Vuitton,verni clutch chain bag pink,a1145051,2021-01-31,2021-02-02,4days,BA,Y,49000,59000
128,Rimowa,topaz 52.,a1146589,2021-02-16,2021-02-16,7days,BA,Y,39000,49000
129,Fendi,regular 2jours black,a1145924,2021-02-09,2021-02-10,4days,BA,Y,49000,59000
130,Louis Vuitton,favorite MM shoulder bag,a1145908,2021-02-09,2021-02-09,7days,BA,Y,59000,69000
131,Louis Vuitton,favorite MM shoulder bag,a1151129,2021-03-28,2021-03-29,7days,BA,Y,59000,69000
132,Louis Vuitton,favorite MM shoulder bag,a1149547,2021-03-16,2021-03-16,7days,BA,Y,59000,69000
133,Louis Vuitton,logo enamel clutch black,a1145082,2021-02-01,2021-02-08,4days,BA,Y,49000,59000
134,Gucci,GG supreme clutch brown,a156051,2019-11-14,2021-02-08,4days,BA,Y,49000,59000
135,Gucci,GG supreme clutch brown,a1151499,2021-03-31,2021-03-31,4days,BA,Y,49000,59000
136,Gucci,GG marmont shoulder bag pink,a1145762,2021-02-07,2021-02-07,7days,BA,Y,49000,59000
137,Fendi,3jours two way bag beige,a1145641,2021-02-06,2021-02-06,4days,BA,Y,49000,59000
138,Fendi,monogram zucchino shoulder bag,a1145478,,2021-02-04,4days,BA,N,39000,49000
139,Miu Miu,matelasse shoulder bag black,a1145170,2021-02-02,2021-02-03,7days,BA,Y,39000,49000
140,Miu Miu,matelasse shoulder bag black,a1149914,2021-03-18,2021-03-18,4days,BA,Y,39000,49000
141,Louis Vuitton,verni mini clutch chain bag brown,a1145144,2021-02-01,2021-02-02,4days,BA,Y,39000,49000
142,Louis Vuitton,verni mini clutch chain bag brown,a1150577,2021-03-23,2021-03-23,7days,BA,Y,39000,49000
143,Louis Vuitton,verni mini clutch chain bag brown,a1138484,2020-12-20,2021-03-09,7days,BA,Y,39000,49000
144,Chanel,Tote beige bag,a1136536,2020-12-11,2021-03-30,7days,BA,Y,49000,59000
145,Chanel,Tote beige bag,a1149929,2021-03-18,2021-03-19,7days,BA,Y,49000,59000
146,Balenciaga,ville logo bag green,a1150992,2021-03-27,2021-03-29,4days,BA,Y,49000,59000
147,Louis Vuitton,thames hobo shoulder bag brown,a1150260,2021-03-21,2021-03-28,7days,BA,Y,39000,49000
148,Celine,trio bag black,a1150762,2021-03-25,2021-03-26,7days,BA,Y,49000,59000
149,Gucci,GG marmont belt bag bluegreen,a1150246,2021-03-21,2021-03-23,7days,BA,Y,49000,59000
150,Gucci,GG marmont belt bag bluegreen,a1147245,2021-02-23,2021-03-06,7days,BA,Y,49000,59000
151,Gucci,GG marmont cross bag bluegreen,a1149664,2021-03-16,2021-03-23,7days,BA,Y,49000,59000
152,Gucci,mamont chain cross body bag black,a1147249,2021-02-23,2021-03-22,7days,BA,Y,39000,49000
153,Fendi,pattern hobo chain bag gray,a1149889,2021-03-18,2021-03-21,4days,BA,Y,39000,49000
154,Hermes,fabric fourre tout MM tote bag,a197203,2020-04-19,2021-03-18,7days,BA,N,39000,49000
155,Louis Vuitton,studded shoulder bag black,a1123025,2020-10-07,2021-03-18,7days,BA,Y,39000,49000
156,Chanel,chevron quilted clutch bag black,a1149790,2021-03-17,2021-03-18,7days,BA,Y,49000,59000
157,Gucci,monogram backpack brown,a1149535,2021-03-16,2021-03-16,7days,BA,N,49000,59000
158,Gucci,GG soho chain clutch bag black,a1147854,2021-02-28,2021-03-09,4days,BA,Y,49000,59000
